seed,policy,slot,n_patients,wait_mean,wait_median,wait_p90,wait_p95,p_wait_le_2,p_wait_le_5,p_overtime,overtime_mean_min,overtime_p95_min,util_m0,util_m1
1,old,q90,6781,11.952809320159268,9.0,29.0,32.0,0.4053974340067837,0.4567172983335791,0.008,0.02914314671794773,0.0,0.7123967970674289,0.7516521188916222
2,old,q90,6821,14.209939891511508,10.0,36.0,38.0,0.3786834774959683,0.40917753995015393,0.008,0.2058107127306648,0.0,0.7149259595748959,0.7473731386705877
3,old,q90,6882,14.370531822144725,11.0,36.0,39.0,0.3920371984888114,0.4256030223772159,0.004,0.02508484639499602,0.0,0.7115933002578338,0.7556783088645148
4,old,q90,6672,10.615107913669064,8.0,27.0,28.0,0.4021282973621103,0.4502398081534772,0.008,0.04774008584148305,0.0,0.711724482194822,0.7459807509963107
5,old,q90,6743,11.576746255375946,9.0,28.0,30.0,0.3904790152751001,0.44549903603737206,0.02,0.29222876149881766,0.0,0.7131597128106795,0.7537799872606921
6,old,q90,6782,13.73282217634916,9.0,32.0,35.0,0.3790917133588912,0.41875552934237686,0.012,0.021441760947705005,0.0,0.7144111764066143,0.7375064707987774
7,old,q90,6646,9.261661149563647,6.0,24.0,27.0,0.4262714414685525,0.4930785434848029,0.012,0.07933161783135119,0.0,0.7090801933416813,0.7596494690469012
8,old,q90,6776,11.546930342384888,8.0,29.0,33.0,0.3980224321133412,0.4701889020070838,0.016,0.2052709864148942,0.0,0.7112447830248404,0.7554121584394359
9,old,q90,6695,10.5008215085885,6.0,26.0,30.0,0.451680358476475,0.4970873786407767,0.016,0.10065021564030394,0.0,0.7100517012622832,0.749663331123332
10,old,q90,6626,8.747811651071537,7.0,23.0,25.0,0.4017506791427709,0.4769091457893148,0.012,0.08405918551299055,0.0,0.7063206031403773,0.7515209542985173
11,old,q90,6752,12.221712085308058,9.0,31.0,33.0,0.39351303317535546,0.4318720379146919,0.016,0.14442199890542087,0.0,0.7117046913477427,0.7418603385043673
12,old,q90,6693,10.330345136709996,6.0,26.0,29.0,0.421335723890632,0.49051247572090245,0.008,0.014994656538553044,0.0,0.7110139162831475,0.7486111344275638
13,old,q90,6626,9.225324479323875,5.0,24.0,25.0,0.4086930274675521,0.5116208874132206,0.008,0.24409250829036636,0.0,0.7120249731188673,0.750516264612758
14,old,q90,6798,12.475433951162106,8.0,33.0,35.0,0.3959988231832892,0.46763754045307443,0.024,0.41406557726269877,0.0,0.7087100604384721,0.7395998631302309
15,old,q90,6710,11.285991058122205,8.0,29.0,31.0,0.4073025335320417,0.4631892697466468,0.012,0.19365617772094082,0.0,0.713960762497754,0.7417123456817378
16,old,q90,6516,6.576120319214242,5.0,16.0,18.0,0.4271025168815224,0.5015346838551259,0.012,0.2147676838632433,0.0,0.7096743167550887,0.7398087453009445
17,old,q90,6781,13.214717593275328,9.0,32.0,35.0,0.40259548739124024,0.42722312343312197,0.016,0.05121488775518901,0.0,0.7141381390283076,0.7446586500221269
18,old,q90,6612,8.695402298850574,6.0,22.0,23.0,0.3926194797338173,0.4869933454325469,0.008,0.049943528178344875,0.0,0.708697939841272,0.7434640518379588
19,old,q90,6668,10.189862027594481,5.0,27.0,29.0,0.40326934613077386,0.5041991601679664,0.02,0.12467690167242154,0.0,0.7109118668378467,0.7410897993238641
20,old,q90,6691,9.75190554476162,7.0,25.0,26.0,0.41907039306531163,0.454790016439994,0.008,0.054089216884069626,0.0,0.7120360376026245,0.7466030442043562
1,old,q95,6772,36.531600708800944,36.0,65.0,71.0,0.022150029533372712,0.05980507974010632,0.0,0.0,0.0,0.619631635881799,0.596421686008781
2,old,q95,6798,38.428655486907914,37.0,70.0,76.0,0.02309502794939688,0.058693733451015,0.0,0.0,0.0,0.6198995209915932,0.5999852322028252
3,old,q95,6727,36.68202764976959,37.0,66.0,71.0,0.027352460234874386,0.06407016500668947,0.0,0.0,0.0,0.613853563676803,0.5986700437659407
4,old,q95,6728,36.821938168846614,37.0,66.0,71.0,0.02095719381688466,0.07862663495838287,0.0,0.0,0.0,0.6174693224889395,0.6023301201029797
5,old,q95,6737,37.87145613774677,39.0,66.0,72.0,0.01632774231853941,0.050319133145316906,0.0,0.0,0.0,0.6208857070745333,0.600346749651905
6,old,q95,6793,39.109230089798324,40.0,70.0,75.0,0.019726188723686148,0.05711762108052407,0.0,0.0,0.0,0.6167698925134251,0.6008062094065139
7,old,q95,6732,36.13576945929887,37.0,63.0,69.0,0.02391562685680333,0.06431966726084373,0.0,0.0,0.0,0.6180567106087184,0.6028692955327134
8,old,q95,6777,36.74885642614726,36.0,66.0,73.0,0.019182529142688504,0.05474398701490335,0.0,0.0,0.0,0.6132902264204543,0.6071040543463132
9,old,q95,6733,35.64339818802911,35.0,64.0,71.0,0.022426852814495767,0.06163671468884598,0.0,0.0,0.0,0.6176003276141149,0.596060431089444
10,old,q95,6567,32.55443886097152,32.0,58.0,61.0,0.02040505558093498,0.0708085883965281,0.0,0.0,0.0,0.6136785624467561,0.6001605372992016
11,old,q95,6812,37.571785085143866,36.0,70.0,77.0,0.020111567821491486,0.05960070463887258,0.0,0.0,0.0,0.6149682427758155,0.5997510372924354
12,old,q95,6698,35.28247237981487,35.0,62.0,69.0,0.027470886831890116,0.06613914601373544,0.0,0.0,0.0,0.6173849754194253,0.5954615621488997
13,old,q95,6833,38.41489828772135,37.0,71.0,78.0,0.026489097029123373,0.07419874140201961,0.004,0.00013393615413815496,0.0,0.6178374753349275,0.5991472256794159
14,old,q95,6771,37.649239403337766,37.0,69.0,76.0,0.025993206321075175,0.07635504356815832,0.0,0.0,0.0,0.6182589968060163,0.5996704476142564
15,old,q95,6623,33.77034576475917,33.0,59.0,65.0,0.025215159293371585,0.06266042578891741,0.0,0.0,0.0,0.6155458354399195,0.6006551589564024
16,old,q95,6732,36.073380867498514,36.0,64.0,71.0,0.02540106951871658,0.07872846108140226,0.0,0.0,0.0,0.6153040300214278,0.6079966035651952
17,old,q95,6926,41.26191163730869,39.0,77.0,85.0,0.01992492058908461,0.05890846087207623,0.0,0.0,0.0,0.6194030980971165,0.6004236077018857
18,old,q95,6678,35.31850853548967,34.0,63.0,69.0,0.01766996106618748,0.05585504642108416,0.0,0.0,0.0,0.6118418493513103,0.6019234209394847
19,old,q95,6673,33.71736849992507,34.0,61.0,66.0,0.03671512063539637,0.09051401168889554,0.0,0.0,0.0,0.6192400660399174,0.6028070740436423
20,old,q95,6633,34.32006633499171,34.0,60.0,65.0,0.01824212271973466,0.06166139001959897,0.0,0.0,0.0,0.6189725465167094,0.5994705146827076
1,new,q90,6917,1.0002891426919185,1.0,1.0,1.0,1.0,1.0,0.096,4.141354120758307,28.698019670175917,0.8243643596973089,0.7570944424516602
2,new,q90,6779,1.0005900575306093,1.0,1.0,1.0,1.0,1.0,0.072,3.1138428764840165,9.420681427019677,0.8104340451284009,0.748586635203282
3,new,q90,6696,1.0008960573476702,1.0,1.0,1.0,1.0,1.0,0.088,3.245855417405458,27.97903495973424,0.8032804280452976,0.7397229528837731
4,new,q90,6679,1.000748615062135,1.0,1.0,1.0,1.0,1.0,0.072,3.622830611022053,32.41685931110991,0.7983364482511469,0.743308838572334
5,new,q90,6698,1.0,1.0,1.0,1.0,1.0,1.0,0.096,3.601210945318723,26.663130567820012,0.8018659676926077,0.7436318681762932
6,new,q90,6775,1.0,1.0,1.0,1.0,1.0,1.0,0.104,5.233958312727144,32.20546609635001,0.8191323083494638,0.740240500496947
7,new,q90,6755,1.0001480384900074,1.0,1.0,1.0,1.0,1.0,0.108,2.795037015575854,16.830351827553795,0.8089923909308742,0.7456577499301844
8,new,q90,6639,1.0003012501882813,1.0,1.0,1.0,1.0,1.0,0.06,1.5283987922873348,6.892545495790643,0.7937634426678793,0.7314978415712348
9,new,q90,6760,1.000147928994083,1.0,1.0,1.0,1.0,1.0,0.112,4.602831928066986,24.810363640877068,0.812473073391978,0.7449500667341286
10,new,q90,6667,1.0,1.0,1.0,1.0,1.0,1.0,0.076,3.087266814566553,19.69688860914926,0.7937818465739681,0.7415977019922249
11,new,q90,6759,1.0004438526409232,1.0,1.0,1.0,1.0,1.0,0.08,3.7894918658234857,26.484417809482878,0.8095793009735546,0.7435416921869148
12,new,q90,6723,1.0,1.0,1.0,1.0,1.0,1.0,0.068,2.5129743412269083,10.066304145097574,0.8016494333175894,0.7431861814768344
